id_usuario,fecha_corte,ingreso_mensual_usd,ingreso_mensual_pen,nivel_endeudamiento,frecuencia_ahorro,gasto_total_usd,gasto_total_pen,ratio_gastos_ingresos,porcentaje_gasto_esencial,porcentaje_gasto_discrecional,concentracion_categoria_principal,cantidad_categorias_utilizadas,gasto_alimentacion_pen,gasto_transporte_pen,gasto_vivienda_pen,gasto_servicios_pen,gasto_salud_y_bienestar_pen,gasto_educacion_pen,gasto_entretenimiento_pen,gasto_compras_pen,gasto_regalos_pen,gasto_viajes_pen,gasto_cuidado_personal_pen,gasto_otros_pen,perfil_financiero
SIN_U00001,2024-01-09,3531.69,13067.25,0.0,Alta,1182.59,4375.58,0.33485102033304165,0.0950456853719964,0.9049543146280036,0.810178307790053,6,53.69,0.0,0.0,0.0,362.19,0.0,65.59,3545.0,224.49,0.0,124.62,0.0,Saludable
SIN_U00002,2022-02-13,3531.73,13067.4,140.0,Nula,2367.99,8761.56,0.6704900997528123,0.7899186902789002,0.15887467528613627,0.3327501038627824,8,1269.87,0.0,2915.41,0.0,1835.6399999999999,900.0,242.08,1086.93,0.0,0.0,62.98,448.65,En riesgo
SIN_U00003,2022-05-12,2799.49,10358.11,0.0,Alta,1003.91,3714.47,0.3586046029812573,0.5029788906627325,0.49702110933726756,0.40492721707269147,5,143.85,0.0,0.0,393.15999999999997,1331.29,0.0,342.08,0.0,1504.0900000000001,0.0,0.0,0.0,Saludable
SIN_U00004,2023-10-02,5894.88,21811.06,84.0,Nula,4440.12,16428.44,0.7532163504600602,0.9586765389775292,0.009833556929325001,0.5946718008526677,7,2089.01,2176.23,0.0,1058.98,9769.529999999999,655.81,161.55,0.0,0.0,0.0,0.0,517.33,En riesgo
SIN_U00005,2021-08-07,5128.93,18977.04,0.0,Media,4137.61,15309.16,0.8067199201392882,0.6649770464218807,0.33502295357811923,0.2081688348674911,9,744.15,1770.66,3023.59,1103.72,3117.69,420.43,1273.6100000000001,0.0,0.0,668.42,3186.89,0.0,Saludable
SIN_U00006,2025-02-12,4051.0,14988.7,943.0,Nula,2244.42,8304.35,0.5540409775364108,0.8995381938381691,0.05311914839812869,0.3689054531661117,7,1220.8899999999999,300.8,2336.06,548.81,3063.5199999999995,0.0,0.0,0.0,441.12,0.0,0.0,393.15,En riesgo
SIN_U00007,2024-06-01,983.69,3639.65,689.0,Nula,332.62,1230.69,0.33813498154906524,0.8877133965499029,0.1122866034500971,0.47196288261056807,5,23.16,61.54,426.96,0.0,580.84,0.0,0.0,0.0,0.0,138.19,0.0,0.0,En riesgo
SIN_U00008,2024-03-17,6199.29,22937.37,0.0,Alta,4503.15,16661.66,0.7263977003818178,0.5075100560208287,0.4924899439791714,0.3049798159367074,9,735.41,518.27,5081.47,280.04,1840.77,0.0,911.23,4730.22,0.0,2375.84,188.41,0.0,Saludable
SIN_U00009,2023-05-02,4271.51,15804.59,0.0,Alta,3062.12,11329.84,0.7168706148411217,0.5023142427430572,0.4976857572569427,0.3297398727607804,9,636.9200000000001,1556.33,0.0,677.22,1905.49,915.18,229.66,937.84,3735.9,0.0,735.3,0.0,Saludable
SIN_U00010,2024-11-23,5216.18,19299.87,130.0,Nula,4369.36,16166.63,0.8376551422688633,0.7655763755340476,0.19086352566985204,0.3982116248098707,8,2090.15,741.2,0.0,1895.87,6437.74,1211.83,0.0,0.0,2489.48,596.14,0.0,704.22,En riesgo
SIN_U00011,2022-09-02,3677.43,13606.49,49.0,Nula,2247.92,8317.3,0.6112747217486125,0.15414377261851803,0.8316857634087986,0.8018034698760416,9,132.82,563.88,0.0,120.86,371.59,92.91,92.51,6668.84,156.03,0.0,0.0,117.86,En riesgo
SIN_U00012,2025-02-21,4808.1,17789.97,0.0,Alta,1537.78,5689.79,0.31983111832116634,0.4762442902110623,0.5237557097889378,0.32482042395237787,7,574.3299999999999,82.74,0.0,704.26,1056.74,291.66,1131.9,0.0,1848.16,0.0,0.0,0.0,Saludable
SIN_U00013,2024-09-07,2449.33,9062.52,0.0,Alta,1804.98,6678.43,0.7369280578770521,0.06369910293287494,0.936300897067125,0.7098509679670222,7,181.33,0.0,0.0,0.0,244.08,0.0,60.97,4740.6900000000005,314.22,1103.23,33.91,0.0,En observación
SIN_U00014,2022-01-15,5546.28,20521.24,195.0,Nula,3630.24,13431.89,0.6545360133278522,0.8546474100070802,0.12348225007798605,0.4002861845950198,8,183.96,1632.73,5376.6,562.6800000000001,3723.56,0.0,0.0,0.0,551.99,1106.61,0.0,293.76,En riesgo
SIN_U00015,2024-06-04,3286.51,12160.09,0.0,Alta,2287.38,8463.31,0.6959905796726619,0.0689753772460184,0.919324708654179,0.8000616779959614,6,369.84,0.0,0.0,0.0,0.0,213.92,541.28,6771.17,0.0,0.0,468.08000000000004,99.02,Saludable
